severity,req#,subject,logged_date,last_updated,service
low,114647,Cannot connect to printer,09/21/2023 21:07:35 IST,09/23/2023 21:07:35 IST,Service 4
low,114652,Cannot print PDF,10/22/2023 00:17:03 IST,10/22/2023 05:17:03 IST,Service 4
low,114653,Printer spooler error,02/06/2023 10:58:04 IST,02/07/2023 10:58:04 IST,Service 4
medium,114657,Paper jam,10/22/2023 20:47:09 IST,10/24/2023 06:47:09 IST,Service 10
critical,114659,Slow printing,10/29/2023 16:42:58 IST,10/31/2023 01:42:58 IST,Service 1
critical,114661,Slow printing,03/06/2023 15:20:03 IST,03/07/2023 22:20:03 IST,Service 7
low,114664,Toner not recognized,10/05/2023 05:52:24 IST,10/06/2023 17:52:24 IST,Service 1
low,114667,Low ink warning,09/22/2023 12:19:28 IST,09/24/2023 21:19:28 IST,Service 5
low,114668,Slow printing,12/26/2023 04:17:32 IST,12/28/2023 12:17:32 IST,Service 9
medium,114673,Low ink warning,02/19/2023 15:46:03 IST,02/22/2023 01:46:03 IST,Service 8
critical,114674,Driver installation error,04/14/2023 22:01:46 IST,04/17/2023 00:01:46 IST,Service 6
critical,114679,Paper jam,10/09/2023 13:48:44 IST,10/09/2023 22:48:44 IST,Service 5
high,114680,Driver installation error,09/19/2023 08:23:46 IST,09/19/2023 21:23:46 IST,Service 8
critical,114682,Driver installation error,02/28/2023 07:38:52 IST,03/03/2023 03:38:52 IST,Service 10
high,114687,Paper jam,07/21/2023 00:06:23 IST,07/23/2023 08:06:23 IST,Service 6
medium,114688,Cannot connect to printer,02/01/2023 00:45:30 IST,02/01/2023 13:45:30 IST,Service 1
critical,114691,Low ink warning,04/04/2023 20:12:19 IST,04/05/2023 15:12:19 IST,Service 3
critical,114693,Network issues,12/20/2023 03:35:51 IST,12/22/2023 05:35:51 IST,Service 9
medium,114696,Cannot print PDF,03/18/2023 11:45:45 IST,03/18/2023 23:45:45 IST,Service 9
high,114698,Low ink warning,10/13/2023 07:29:59 IST,10/15/2023 16:29:59 IST,Service 3
medium,114701,Low ink warning,01/06/2023 12:59:34 IST,01/08/2023 02:59:34 IST,Service 1
critical,114702,Slow printing,06/02/2023 04:08:18 IST,06/04/2023 00:08:18 IST,Service 1
high,114703,Network issues,03/26/2023 20:52:00 IST,03/29/2023 06:52:00 IST,Service 8
high,114707,Cannot connect to printer,03/18/2023 14:28:30 IST,03/20/2023 15:28:30 IST,Service 5
low,114708,Slow printing,02/19/2023 10:05:54 IST,02/20/2023 11:05:54 IST,Service 1
medium,114710,Printer spooler error,09/17/2023 08:31:25 IST,09/19/2023 10:31:25 IST,Service 4
medium,114714,Printer spooler error,05/24/2023 16:09:43 IST,05/25/2023 22:09:43 IST,Service 5
critical,114717,Cannot print PDF,12/09/2023 20:21:56 IST,12/10/2023 14:21:56 IST,Service 6
low,114718,Slow printing,12/15/2023 03:07:29 IST,12/15/2023 13:07:29 IST,Service 2
medium,114720,Cannot print PDF,08/14/2023 00:05:17 IST,08/15/2023 01:05:17 IST,Service 8
medium,114724,Cannot connect to printer,07/10/2023 11:39:34 IST,07/10/2023 14:39:34 IST,Service 5
low,114727,Low ink warning,02/18/2023 01:22:47 IST,02/18/2023 16:22:47 IST,Service 1
critical,114729,Driver installation error,11/19/2023 08:16:56 IST,11/22/2023 03:16:56 IST,Service 10
medium,114733,Toner not recognized,05/10/2023 09:19:22 IST,05/12/2023 01:19:22 IST,Service 9
high,114738,Network issues,11/16/2023 13:07:41 IST,11/18/2023 12:07:41 IST,Service 9
medium,114740,Low ink warning,08/20/2023 18:22:42 IST,08/22/2023 21:22:42 IST,Service 4
high,114741,Network issues,11/20/2023 10:53:53 IST,11/22/2023 11:53:53 IST,Service 9
high,114746,Cannot connect to printer,04/15/2023 00:40:35 IST,04/16/2023 00:40:35 IST,Service 10
medium,114750,Printer not responding,01/20/2023 21:53:55 IST,01/22/2023 11:53:55 IST,Service 7
medium,114755,Slow printing,10/04/2023 00:23:40 IST,10/05/2023 07:23:40 IST,Service 10
high,114757,Toner not recognized,08/21/2023 16:59:41 IST,08/24/2023 12:59:41 IST,Service 4
medium,114759,Driver installation error,04/11/2023 15:39:50 IST,04/13/2023 12:39:50 IST,Service 8
critical,114763,Printer spooler error,08/14/2023 01:45:01 IST,08/15/2023 04:45:01 IST,Service 4
critical,114765,Toner not recognized,01/28/2023 13:34:05 IST,01/29/2023 10:34:05 IST,Service 10
critical,114768,Slow printing,06/11/2023 23:32:05 IST,06/12/2023 09:32:05 IST,Service 7
critical,114772,Low ink warning,01/16/2023 12:58:54 IST,01/19/2023 01:58:54 IST,Service 5
medium,114776,Low ink warning,03/19/2023 11:04:27 IST,03/21/2023 08:04:27 IST,Service 8
high,114779,Toner not recognized,04/09/2023 16:12:35 IST,04/12/2023 11:12:35 IST,Service 1
medium,114780,Paper jam,06/12/2023 21:44:25 IST,06/13/2023 10:44:25 IST,Service 1
medium,114783,Cannot print PDF,06/20/2023 00:21:17 IST,06/20/2023 19:21:17 IST,Service 9
critical,114786,Low ink warning,02/12/2023 22:35:15 IST,02/13/2023 06:35:15 IST,Service 6
high,114788,Cannot print PDF,10/22/2023 14:23:48 IST,10/23/2023 14:23:48 IST,Service 7
medium,114789,Toner not recognized,02/18/2023 02:14:07 IST,02/19/2023 08:14:07 IST,Service 10
low,114791,Cannot connect to printer,07/10/2023 18:09:46 IST,07/12/2023 12:09:46 IST,Service 5
medium,114792,Printer spooler error,09/17/2023 17:01:30 IST,09/19/2023 00:01:30 IST,Service 6
critical,114795,Driver installation error,02/21/2023 04:24:52 IST,02/21/2023 16:24:52 IST,Service 4
low,114800,Slow printing,04/06/2023 23:53:09 IST,04/08/2023 07:53:09 IST,Service 4
high,114805,Printer spooler error,01/31/2023 03:52:37 IST,01/31/2023 15:52:37 IST,Service 2
medium,114808,Toner not recognized,03/12/2023 01:01:28 IST,03/12/2023 15:01:28 IST,Service 7
medium,114809,Low ink warning,12/04/2023 10:29:05 IST,12/06/2023 05:29:05 IST,Service 9
high,114812,Low ink warning,11/22/2023 22:29:15 IST,11/25/2023 14:29:15 IST,Service 1
medium,114815,Low ink warning,09/19/2023 11:02:38 IST,09/20/2023 21:02:38 IST,Service 3
critical,114818,Low ink warning,07/04/2023 22:44:55 IST,07/05/2023 06:44:55 IST,Service 10
high,114822,Network issues,04/09/2023 02:49:27 IST,04/10/2023 08:49:27 IST,Service 8
high,114827,Cannot connect to printer,04/15/2023 05:08:28 IST,04/17/2023 08:08:28 IST,Service 5
low,114832,Paper jam,05/31/2023 18:47:13 IST,06/01/2023 02:47:13 IST,Service 1
critical,114834,Low ink warning,02/06/2023 06:07:13 IST,02/09/2023 02:07:13 IST,Service 9
low,114837,Cannot print PDF,02/19/2023 19:09:13 IST,02/22/2023 10:09:13 IST,Service 9
high,114842,Slow printing,08/28/2023 22:43:36 IST,08/29/2023 21:43:36 IST,Service 5
high,114843,Network issues,09/29/2023 23:36:08 IST,10/02/2023 18:36:08 IST,Service 6
critical,114848,Cannot connect to printer,05/25/2023 02:23:10 IST,05/27/2023 23:23:10 IST,Service 6
medium,114853,Driver installation error,08/12/2023 23:09:21 IST,08/15/2023 12:09:21 IST,Service 3
low,114858,Toner not recognized,07/08/2023 22:29:32 IST,07/09/2023 23:29:32 IST,Service 5
low,114861,Cannot connect to printer,12/26/2023 12:42:20 IST,12/27/2023 03:42:20 IST,Service 7
critical,114866,Slow printing,10/08/2023 10:55:34 IST,10/08/2023 17:55:34 IST,Service 4
critical,114867,Toner not recognized,05/02/2023 07:57:10 IST,05/02/2023 12:57:10 IST,Service 9
high,114872,Slow printing,11/30/2023 17:28:46 IST,12/02/2023 14:28:46 IST,Service 9
critical,114873,Printer not responding,06/09/2023 05:48:00 IST,06/09/2023 07:48:00 IST,Service 9
medium,114876,Cannot print PDF,01/02/2023 02:51:11 IST,01/02/2023 22:51:11 IST,Service 8
low,114880,Printer not responding,06/07/2023 10:59:01 IST,06/08/2023 01:59:01 IST,Service 10
low,114881,Cannot print PDF,12/01/2023 07:13:52 IST,12/03/2023 03:13:52 IST,Service 1
low,114885,Driver installation error,12/19/2023 18:36:52 IST,12/22/2023 05:36:52 IST,Service 7
high,114886,Cannot connect to printer,01/14/2023 13:35:52 IST,01/17/2023 09:35:52 IST,Service 8
critical,114891,Cannot print PDF,07/31/2023 12:51:22 IST,08/03/2023 01:51:22 IST,Service 9
critical,114892,Cannot connect to printer,02/22/2023 18:17:34 IST,02/25/2023 17:17:34 IST,Service 7
medium,114896,Paper jam,09/02/2023 13:25:02 IST,09/05/2023 02:25:02 IST,Service 7
low,114901,Printer spooler error,08/25/2023 04:24:40 IST,08/25/2023 20:24:40 IST,Service 2
medium,114906,Cannot print PDF,07/24/2023 22:01:35 IST,07/27/2023 00:01:35 IST,Service 7
medium,114907,Slow printing,09/24/2023 08:23:44 IST,09/26/2023 13:23:44 IST,Service 3
critical,114910,Paper jam,01/05/2023 20:01:34 IST,01/08/2023 02:01:34 IST,Service 2
low,114915,Printer not responding,12/23/2023 08:37:19 IST,12/26/2023 04:37:19 IST,Service 3
medium,114917,Paper jam,01/27/2023 06:03:10 IST,01/27/2023 17:03:10 IST,Service 9
medium,114921,Printer spooler error,10/25/2023 10:50:12 IST,10/27/2023 19:50:12 IST,Service 5
low,114926,Cannot connect to printer,06/17/2023 02:39:45 IST,06/18/2023 18:39:45 IST,Service 5
critical,114928,Cannot print PDF,04/14/2023 11:21:30 IST,04/16/2023 10:21:30 IST,Service 9
low,114932,Network issues,11/09/2023 02:23:58 IST,11/09/2023 16:23:58 IST,Service 2
medium,114934,Driver installation error,05/22/2023 23:50:08 IST,05/24/2023 19:50:08 IST,Service 9
high,114935,Toner not recognized,03/20/2023 15:09:17 IST,03/23/2023 06:09:17 IST,Service 5
critical,114938,Slow printing,02/10/2023 01:06:36 IST,02/10/2023 12:06:36 IST,Service 1
critical,114942,Slow printing,02/24/2023 15:22:39 IST,02/26/2023 19:22:39 IST,Service 4
high,114944,Cannot connect to printer,08/03/2023 22:10:53 IST,08/06/2023 03:10:53 IST,Service 5
critical,114946,Printer not responding,06/09/2023 06:38:47 IST,06/12/2023 02:38:47 IST,Service 8
high,114948,Network issues,08/27/2023 21:37:44 IST,08/28/2023 08:37:44 IST,Service 1
low,114952,Network issues,07/21/2023 21:52:21 IST,07/24/2023 14:52:21 IST,Service 8
low,114955,Cannot connect to printer,09/22/2023 15:36:18 IST,09/25/2023 00:36:18 IST,Service 8
critical,114960,Paper jam,02/13/2023 14:17:23 IST,02/13/2023 20:17:23 IST,Service 10
high,114962,Paper jam,09/03/2023 05:27:11 IST,09/05/2023 05:27:11 IST,Service 10
critical,114966,Paper jam,01/02/2023 20:48:05 IST,01/03/2023 03:48:05 IST,Service 5
high,114969,Paper jam,03/30/2023 11:20:38 IST,04/01/2023 13:20:38 IST,Service 9
low,114973,Toner not recognized,03/08/2023 05:21:03 IST,03/10/2023 13:21:03 IST,Service 2
high,114977,Network issues,04/21/2023 14:31:01 IST,04/24/2023 08:31:01 IST,Service 7
low,114979,Slow printing,07/18/2023 13:48:13 IST,07/19/2023 20:48:13 IST,Service 2
high,114982,Slow printing,10/25/2023 16:34:43 IST,10/27/2023 08:34:43 IST,Service 1
critical,114986,Slow printing,02/18/2023 06:01:41 IST,02/20/2023 02:01:41 IST,Service 2
low,114991,Network issues,05/19/2023 15:32:43 IST,05/21/2023 23:32:43 IST,Service 2
low,114995,Toner not recognized,11/16/2023 10:37:33 IST,11/18/2023 09:37:33 IST,Service 3
critical,114996,Slow printing,09/14/2023 16:49:34 IST,09/15/2023 02:49:34 IST,Service 5
high,115000,Paper jam,08/18/2023 13:22:50 IST,08/19/2023 00:22:50 IST,Service 9
critical,115001,Printer not responding,12/01/2023 14:34:54 IST,12/02/2023 15:34:54 IST,Service 8
medium,115003,Low ink warning,12/04/2023 09:49:28 IST,12/04/2023 10:49:28 IST,Service 3
critical,115006,Cannot connect to printer,01/07/2023 09:32:06 IST,01/08/2023 13:32:06 IST,Service 3
medium,115010,Paper jam,10/25/2023 11:02:58 IST,10/26/2023 11:02:58 IST,Service 8
low,115015,Cannot connect to printer,03/26/2023 09:13:33 IST,03/28/2023 06:13:33 IST,Service 4
low,115017,Network issues,10/31/2023 15:30:51 IST,11/03/2023 12:30:51 IST,Service 4
low,115020,Slow printing,06/19/2023 18:15:41 IST,06/20/2023 16:15:41 IST,Service 9
high,115022,Slow printing,10/20/2023 11:50:50 IST,10/23/2023 05:50:50 IST,Service 1
high,115025,Cannot connect to printer,12/22/2023 07:50:43 IST,12/22/2023 20:50:43 IST,Service 2
high,115028,Driver installation error,12/12/2023 21:12:45 IST,12/14/2023 18:12:45 IST,Service 9
medium,115033,Network issues,09/24/2023 10:23:56 IST,09/25/2023 01:23:56 IST,Service 3
low,115034,Cannot connect to printer,06/28/2023 15:56:43 IST,06/30/2023 06:56:43 IST,Service 2
high,115037,Cannot connect to printer,05/15/2023 12:39:10 IST,05/18/2023 12:39:10 IST,Service 5
low,115038,Cannot connect to printer,01/13/2023 05:20:08 IST,01/15/2023 19:20:08 IST,Service 2
critical,115039,Toner not recognized,02/08/2023 12:43:07 IST,02/09/2023 09:43:07 IST,Service 10
low,115040,Network issues,12/21/2023 17:38:59 IST,12/23/2023 22:38:59 IST,Service 1
low,115045,Printer spooler error,12/16/2023 07:46:15 IST,12/19/2023 06:46:15 IST,Service 10
critical,115048,Low ink warning,06/20/2023 06:39:39 IST,06/21/2023 00:39:39 IST,Service 3
low,115053,Printer not responding,07/09/2023 19:53:40 IST,07/10/2023 01:53:40 IST,Service 7
low,115057,Paper jam,03/25/2023 15:39:16 IST,03/27/2023 20:39:16 IST,Service 5
medium,115059,Network issues,01/16/2023 02:01:45 IST,01/16/2023 19:01:45 IST,Service 1
high,115062,Paper jam,10/15/2023 20:06:45 IST,10/16/2023 08:06:45 IST,Service 10
critical,115063,Printer not responding,01/23/2023 16:10:32 IST,01/23/2023 20:10:32 IST,Service 1
low,115065,Printer not responding,10/22/2023 21:45:44 IST,10/25/2023 00:45:44 IST,Service 4
high,115067,Low ink warning,11/04/2023 22:05:13 IST,11/05/2023 16:05:13 IST,Service 7
critical,115072,Cannot print PDF,07/28/2023 02:50:42 IST,07/29/2023 16:50:42 IST,Service 2
low,115077,Low ink warning,02/04/2023 19:35:01 IST,02/05/2023 05:35:01 IST,Service 6
high,115078,Cannot print PDF,02/08/2023 11:50:43 IST,02/10/2023 09:50:43 IST,Service 6
high,115083,Printer not responding,05/21/2023 17:15:28 IST,05/23/2023 02:15:28 IST,Service 4
high,115087,Toner not recognized,10/18/2023 16:45:57 IST,10/19/2023 10:45:57 IST,Service 8
medium,115089,Slow printing,01/05/2023 12:36:17 IST,01/07/2023 16:36:17 IST,Service 7
critical,115091,Network issues,04/25/2023 14:50:33 IST,04/28/2023 01:50:33 IST,Service 7
critical,115094,Cannot connect to printer,04/15/2023 09:40:02 IST,04/16/2023 16:40:02 IST,Service 5
medium,115097,Slow printing,08/13/2023 16:56:40 IST,08/15/2023 04:56:40 IST,Service 1
medium,115100,Slow printing,09/28/2023 03:12:55 IST,09/30/2023 23:12:55 IST,Service 7
critical,115101,Toner not recognized,03/18/2023 20:41:00 IST,03/20/2023 10:41:00 IST,Service 2
medium,115103,Printer not responding,01/27/2023 21:39:43 IST,01/29/2023 14:39:43 IST,Service 6
medium,115106,Low ink warning,01/31/2023 10:21:18 IST,02/02/2023 01:21:18 IST,Service 5
critical,115111,Printer spooler error,09/30/2023 07:04:29 IST,10/01/2023 22:04:29 IST,Service 1
critical,115114,Toner not recognized,05/27/2023 15:02:28 IST,05/29/2023 18:02:28 IST,Service 2
medium,115118,Slow printing,07/25/2023 04:58:43 IST,07/26/2023 22:58:43 IST,Service 6
medium,115119,Driver installation error,04/05/2023 02:05:05 IST,04/05/2023 19:05:05 IST,Service 8
high,115124,Cannot connect to printer,11/10/2023 04:07:57 IST,11/10/2023 18:07:57 IST,Service 9
medium,115126,Printer spooler error,06/22/2023 06:18:48 IST,06/25/2023 00:18:48 IST,Service 5
medium,115130,Printer spooler error,12/02/2023 07:16:06 IST,12/03/2023 13:16:06 IST,Service 3
low,115134,Toner not recognized,07/28/2023 14:42:14 IST,07/30/2023 05:42:14 IST,Service 2
medium,115136,Cannot print PDF,12/27/2023 21:41:11 IST,12/30/2023 02:41:11 IST,Service 8
medium,115138,Printer spooler error,01/26/2023 17:40:12 IST,01/27/2023 04:40:12 IST,Service 4
low,115142,Network issues,11/19/2023 21:24:07 IST,11/20/2023 02:24:07 IST,Service 8
high,115144,Printer not responding,09/26/2023 23:23:30 IST,09/28/2023 09:23:30 IST,Service 3
high,115145,Cannot connect to printer,01/28/2023 00:43:08 IST,01/30/2023 13:43:08 IST,Service 1
critical,115148,Printer spooler error,04/25/2023 08:15:19 IST,04/25/2023 18:15:19 IST,Service 4
low,115152,Cannot print PDF,12/25/2023 14:15:03 IST,12/28/2023 01:15:03 IST,Service 8
low,115157,Paper jam,11/03/2023 17:52:29 IST,11/05/2023 17:52:29 IST,Service 9
critical,115159,Paper jam,11/06/2023 18:55:35 IST,11/07/2023 09:55:35 IST,Service 1
high,115164,Low ink warning,05/10/2023 04:35:45 IST,05/11/2023 16:35:45 IST,Service 2
medium,115167,Network issues,02/03/2023 23:43:00 IST,02/04/2023 19:43:00 IST,Service 2
medium,115172,Printer spooler error,09/21/2023 23:32:32 IST,09/22/2023 01:32:32 IST,Service 2
medium,115175,Printer not responding,12/17/2023 05:13:05 IST,12/18/2023 04:13:05 IST,Service 9
low,115177,Driver installation error,11/06/2023 04:36:27 IST,11/07/2023 07:36:27 IST,Service 1
medium,115178,Slow printing,05/28/2023 02:26:23 IST,05/29/2023 22:26:23 IST,Service 3
low,115183,Cannot print PDF,03/08/2023 02:12:57 IST,03/08/2023 04:12:57 IST,Service 10
medium,115187,Driver installation error,06/28/2023 22:59:25 IST,07/01/2023 17:59:25 IST,Service 5
low,115192,Network issues,11/09/2023 05:54:27 IST,11/11/2023 15:54:27 IST,Service 4
high,115194,Printer not responding,07/27/2023 20:30:00 IST,07/30/2023 13:30:00 IST,Service 6
medium,115196,Printer spooler error,03/07/2023 02:59:05 IST,03/09/2023 08:59:05 IST,Service 2
low,115198,Toner not recognized,09/23/2023 11:28:54 IST,09/23/2023 13:28:54 IST,Service 2
low,115200,Paper jam,09/05/2023 12:42:13 IST,09/05/2023 15:42:13 IST,Service 7
medium,115205,Low ink warning,10/31/2023 16:42:39 IST,11/03/2023 13:42:39 IST,Service 6
low,115207,Toner not recognized,06/30/2023 19:34:31 IST,07/02/2023 02:34:31 IST,Service 1
medium,115208,Cannot print PDF,09/24/2023 10:23:46 IST,09/27/2023 09:23:46 IST,Service 5
critical,115209,Toner not recognized,06/25/2023 14:35:46 IST,06/26/2023 10:35:46 IST,Service 1
low,115212,Cannot print PDF,07/05/2023 20:11:03 IST,07/07/2023 09:11:03 IST,Service 5
medium,115214,Toner not recognized,05/28/2023 23:16:06 IST,05/30/2023 11:16:06 IST,Service 8
high,115215,Toner not recognized,04/14/2023 22:48:51 IST,04/16/2023 07:48:51 IST,Service 3
high,115217,Driver installation error,08/18/2023 14:03:36 IST,08/19/2023 23:03:36 IST,Service 6
medium,115222,Network issues,09/27/2023 01:13:21 IST,09/29/2023 18:13:21 IST,Service 2
medium,115226,Printer not responding,08/11/2023 00:44:54 IST,08/13/2023 02:44:54 IST,Service 1
high,115229,Cannot connect to printer,08/09/2023 04:54:14 IST,08/10/2023 02:54:14 IST,Service 3
medium,115231,Cannot print PDF,11/22/2023 10:56:39 IST,11/23/2023 03:56:39 IST,Service 8
high,115234,Slow printing,01/31/2023 04:28:34 IST,01/31/2023 15:28:34 IST,Service 7
low,115237,Low ink warning,12/05/2023 17:54:21 IST,12/06/2023 00:54:21 IST,Service 5
low,115239,Driver installation error,05/24/2023 08:58:21 IST,05/26/2023 06:58:21 IST,Service 8
high,115240,Toner not recognized,04/22/2023 03:36:35 IST,04/22/2023 06:36:35 IST,Service 10
high,115241,Slow printing,06/11/2023 18:22:22 IST,06/11/2023 23:22:22 IST,Service 10
low,115246,Slow printing,03/17/2023 22:28:18 IST,03/18/2023 09:28:18 IST,Service 1
high,115251,Printer not responding,03/14/2023 02:09:06 IST,03/16/2023 09:09:06 IST,Service 5
high,115256,Driver installation error,09/12/2023 14:15:52 IST,09/13/2023 01:15:52 IST,Service 10
medium,115259,Paper jam,09/12/2023 07:01:49 IST,09/14/2023 05:01:49 IST,Service 6
critical,115263,Network issues,09/24/2023 23:17:36 IST,09/26/2023 01:17:36 IST,Service 8
medium,115267,Network issues,03/31/2023 11:22:59 IST,04/01/2023 09:22:59 IST,Service 1
medium,115268,Cannot print PDF,04/28/2023 22:10:29 IST,04/29/2023 15:10:29 IST,Service 10
critical,115271,Printer spooler error,09/26/2023 23:40:50 IST,09/27/2023 09:40:50 IST,Service 7
critical,115276,Cannot print PDF,05/26/2023 10:13:54 IST,05/26/2023 20:13:54 IST,Service 6
critical,115280,Low ink warning,03/12/2023 07:57:04 IST,03/13/2023 20:57:04 IST,Service 1
low,115283,Cannot print PDF,03/12/2023 02:49:56 IST,03/14/2023 09:49:56 IST,Service 3
medium,115285,Cannot connect to printer,10/06/2023 01:32:09 IST,10/07/2023 11:32:09 IST,Service 8
critical,115289,Printer not responding,09/12/2023 03:10:37 IST,09/12/2023 09:10:37 IST,Service 5
critical,115293,Slow printing,05/06/2023 11:41:38 IST,05/09/2023 02:41:38 IST,Service 8
critical,115298,Low ink warning,03/23/2023 04:32:43 IST,03/25/2023 09:32:43 IST,Service 4
low,115300,Toner not recognized,05/06/2023 16:45:28 IST,05/08/2023 04:45:28 IST,Service 3
low,115302,Cannot print PDF,03/27/2023 20:07:04 IST,03/29/2023 01:07:04 IST,Service 5
medium,115306,Printer not responding,03/22/2023 08:38:59 IST,03/23/2023 09:38:59 IST,Service 7
high,115309,Paper jam,08/21/2023 11:36:27 IST,08/22/2023 13:36:27 IST,Service 10
critical,115313,Cannot connect to printer,03/15/2023 17:54:07 IST,03/16/2023 19:54:07 IST,Service 5
medium,115315,Toner not recognized,08/15/2023 18:41:05 IST,08/17/2023 18:41:05 IST,Service 2
low,115320,Low ink warning,06/12/2023 01:35:02 IST,06/13/2023 10:35:02 IST,Service 1
high,115321,Low ink warning,09/09/2023 12:37:42 IST,09/11/2023 01:37:42 IST,Service 5
critical,115322,Toner not recognized,10/06/2023 06:31:48 IST,10/09/2023 04:31:48 IST,Service 8
high,115326,Printer not responding,06/24/2023 23:40:51 IST,06/25/2023 17:40:51 IST,Service 5
low,115330,Toner not recognized,11/29/2023 13:00:15 IST,12/01/2023 11:00:15 IST,Service 1
critical,115332,Printer not responding,05/14/2023 21:09:24 IST,05/15/2023 14:09:24 IST,Service 3
high,115335,Printer not responding,10/20/2023 03:11:13 IST,10/22/2023 16:11:13 IST,Service 4
medium,115338,Toner not recognized,05/08/2023 07:49:20 IST,05/09/2023 19:49:20 IST,Service 2
critical,115343,Network issues,12/22/2023 16:31:48 IST,12/23/2023 01:31:48 IST,Service 9
high,115348,Network issues,02/24/2023 13:34:32 IST,02/26/2023 09:34:32 IST,Service 2
low,115353,Network issues,10/11/2023 04:59:46 IST,10/11/2023 13:59:46 IST,Service 7
low,115357,Network issues,09/19/2023 03:01:33 IST,09/19/2023 09:01:33 IST,Service 4
medium,115362,Low ink warning,01/08/2023 22:25:37 IST,01/11/2023 11:25:37 IST,Service 10
medium,115367,Cannot print PDF,09/29/2023 16:34:47 IST,09/30/2023 22:34:47 IST,Service 5
critical,115372,Paper jam,06/18/2023 08:00:07 IST,06/18/2023 17:00:07 IST,Service 2
medium,115374,Printer not responding,04/10/2023 14:06:27 IST,04/11/2023 11:06:27 IST,Service 9
critical,115378,Printer not responding,07/27/2023 04:30:54 IST,07/30/2023 02:30:54 IST,Service 8
critical,115380,Toner not recognized,08/01/2023 11:33:28 IST,08/02/2023 22:33:28 IST,Service 1
low,115384,Slow printing,08/13/2023 21:39:51 IST,08/16/2023 17:39:51 IST,Service 10
low,115385,Network issues,07/16/2023 08:21:05 IST,07/18/2023 22:21:05 IST,Service 3
medium,115389,Slow printing,07/15/2023 06:24:07 IST,07/16/2023 04:24:07 IST,Service 5
critical,115390,Cannot print PDF,08/15/2023 14:40:53 IST,08/16/2023 09:40:53 IST,Service 5
medium,115392,Toner not recognized,04/26/2023 21:38:28 IST,04/27/2023 04:38:28 IST,Service 5
low,115395,Low ink warning,03/04/2023 18:21:00 IST,03/05/2023 05:21:00 IST,Service 6
low,115398,Cannot print PDF,01/08/2023 02:09:54 IST,01/08/2023 16:09:54 IST,Service 6
low,115402,Toner not recognized,11/27/2023 12:58:20 IST,11/29/2023 18:58:20 IST,Service 4
low,115404,Toner not recognized,10/13/2023 03:52:04 IST,10/15/2023 01:52:04 IST,Service 2
high,115406,Paper jam,11/22/2023 17:10:02 IST,11/23/2023 10:10:02 IST,Service 8
low,115411,Cannot connect to printer,02/02/2023 14:23:14 IST,02/04/2023 14:23:14 IST,Service 6
low,115414,Low ink warning,01/09/2023 19:02:02 IST,01/12/2023 19:02:02 IST,Service 8
high,115419,Cannot print PDF,03/06/2023 13:19:39 IST,03/08/2023 19:19:39 IST,Service 6
high,115420,Driver installation error,02/08/2023 19:48:51 IST,02/09/2023 05:48:51 IST,Service 9
medium,115423,Cannot print PDF,10/15/2023 22:15:07 IST,10/17/2023 07:15:07 IST,Service 6
high,115427,Network issues,04/01/2023 16:12:48 IST,04/03/2023 08:12:48 IST,Service 1
medium,115429,Low ink warning,05/18/2023 10:42:05 IST,05/20/2023 02:42:05 IST,Service 8
low,115434,Printer spooler error,08/02/2023 06:41:03 IST,08/03/2023 08:41:03 IST,Service 1
low,115438,Network issues,09/20/2023 15:09:33 IST,09/23/2023 08:09:33 IST,Service 6
low,115441,Cannot print PDF,06/09/2023 03:34:08 IST,06/11/2023 10:34:08 IST,Service 5
medium,115444,Low ink warning,08/29/2023 13:22:45 IST,09/01/2023 09:22:45 IST,Service 2
medium,115445,Cannot connect to printer,09/22/2023 12:33:51 IST,09/22/2023 16:33:51 IST,Service 3
critical,115450,Low ink warning,03/15/2023 05:01:27 IST,03/17/2023 09:01:27 IST,Service 10
low,115454,Network issues,09/20/2023 21:42:19 IST,09/21/2023 11:42:19 IST,Service 10
low,115459,Toner not recognized,09/28/2023 09:38:57 IST,09/29/2023 23:38:57 IST,Service 6
low,115463,Printer not responding,09/14/2023 07:42:20 IST,09/15/2023 15:42:20 IST,Service 5
low,115465,Driver installation error,01/22/2023 23:20:42 IST,01/23/2023 04:20:42 IST,Service 3
low,115468,Slow printing,10/25/2023 18:46:05 IST,10/26/2023 17:46:05 IST,Service 3
low,115471,Cannot connect to printer,12/26/2023 10:49:11 IST,12/26/2023 23:49:11 IST,Service 4
critical,115476,Paper jam,11/02/2023 09:52:51 IST,11/05/2023 07:52:51 IST,Service 1
critical,115481,Printer spooler error,03/10/2023 03:49:43 IST,03/12/2023 03:49:43 IST,Service 8
low,115483,Cannot print PDF,05/31/2023 08:22:51 IST,06/01/2023 12:22:51 IST,Service 6
high,115486,Driver installation error,12/17/2023 17:44:33 IST,12/18/2023 05:44:33 IST,Service 2
high,115489,Slow printing,07/26/2023 16:43:41 IST,07/27/2023 16:43:41 IST,Service 8
critical,115494,Cannot print PDF,09/21/2023 13:42:33 IST,09/22/2023 02:42:33 IST,Service 10
critical,115496,Network issues,11/08/2023 04:11:46 IST,11/10/2023 15:11:46 IST,Service 1
critical,115501,Cannot connect to printer,12/02/2023 18:30:19 IST,12/03/2023 09:30:19 IST,Service 8
high,115504,Printer spooler error,03/27/2023 23:13:46 IST,03/29/2023 16:13:46 IST,Service 9
